"family","order","class","final_min","final_max","final_mid","final_source","Body_Size","Body_Size_order"
"Philotarsidae","Psocoptera","Insecta","2.5",3.5,3,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Pseudocaeciliidae","Psocoptera","Insecta","2.5",3.5,3,"Insect Biodiversity : Science and Society, Volume 2","<5 mm",5
"Psocidae","Psocoptera","Insecta","2.5",10,6.25,"Insect Biodiversity : Science and Society, Volume 2","5-10 mm",4
"Ceratophyllidae","Siphonaptera","Insecta","2",2,2,"bugguide (data)","<5 mm",5
"Thripidae","Thysanoptera","Insecta","0.8",3.2,2,"Insects of Texas","<5 mm",5
"Hydroptilidae","Trichoptera","Insecta","1.5",6,3.75,"Borror","<5 mm",5
"Leptoceridae","Trichoptera","Insecta","5",17,11,"Borror","10-20 mm",3
"Limnephilidae","Trichoptera","Insecta","7",23,15,"Borror","10-20 mm",3
"Blattellidae","Blattodea","Insecta","3",16,9.5,"Borror / Milne & Milne","5-10 mm",4
"Rhinophoridae","Diptera","Insecta","3",14,8.5,"Borror / Milne & Milne","5-10 mm",4
"Ptinidae","Coleoptera","Insecta","1",6,3.5,"White / Milne & Milne","<5 mm",5
"Cyclopidae","Cyclopoida","Insecta","0.7",0.7,0.7,"bugguide (data)","<5 mm",5
"Philopteridae","Phthiraptera","Insecta","NA",1.5,1,"Milne & Milne","<5 mm",5
"Gryllacrididae","Orthoptera","Insecta","13",15,14,"Borror & White","10-20 mm",3
"Sclerosomatidae","Opiliones","Arachnida","4",20,23,"Milne & Milne",">20 mm",2
"Nabidae","Hemiptera","Insecta","3.5",11,7.25,"Borror","5-10 mm",4
"Geocoridae","Hemiptera","Insecta","3",15,9,"Borror & White","5-10 mm",4
"Oestridae","Diptera","Insecta","12",25,18.5,"bugguide (data)","10-20 mm",3
"Corydalidae","Megaloptera","Insecta","20",70,45,"Milne & Milne",">20 mm",2
"Forficulidae","Dermaptera","Insecta","12",20,16,"Borror","10-20 mm",3
"Hypogastruridae","Poduromorpha","Collembola","1",2,1.5,"Borror","<5 mm",5
"Cydnidae","Hemiptera","Insecta","3",8,5.5,"Arnett (2000)","5-10 mm",4
"Argidae","Hymenoptera","Insecta","8",15,11.5,"Arnett (2000)","10-20 mm",3
"Coelopidae","Diptera","Insecta","4",9,6.5,"Milne & Milne","5-10 mm",4
"Bdellidae","Trombidiformes","Arachnida","1",1.5,1.25,"bugguide (data)","<5 mm",5
"Phenopelopidae","Sarcoptiformes","Arachnida","0.2",1.5,0.85,"Article","<5 mm",5
"Coleophoridae","Lepidoptera","Insecta","3.5",13,8.25,"Powel & Opler (MWN)","5-10 mm",4
"Anthomyiidae","Diptera","Insecta","3",12,7.5,"Milne & Milne","5-10 mm",4
"Isotomidae","Entomobryomorpha","Collembola","0.67",3,1.84,"bugguide (data)","<5 mm",5
"Lonchopteridae","Diptera","Insecta","2",5,3.5,"Klymko (2008)","<5 mm",5
"Sciomyzidae","Diptera","Insecta","4",8,6,"Milne & Milne","5-10 mm",4
"Phytoseiidae"," Mesostigmata","Arachnida","0.2",1,0.6,"bugguide (data)","<5 mm",5
"Depressariidae","Lepidoptera","Insecta","7",17,11.5,"Powel & Opler (MWN)","10-20 mm",3
"Lauxaniidae","Diptera","Insecta","3.5",6,4.75,"Borror  / bugguide (data)","<5 mm",5
